ds,yhat
2021-11-15,16698.43805031291
2021-11-16,18529.449676738026
2021-11-17,17245.550731378524
2021-11-18,19428.199044020203
2021-11-19,19784.770379771533
2021-11-20,17185.37737560783
2021-11-21,17441.917032391655
2021-11-22,16950.883743176055
2021-11-23,18906.270580600212
2021-11-24,17747.887773374252
2021-11-25,20053.718297054023
2021-11-26,20527.749994799127
2021-11-27,18036.89443882261
2021-11-28,18390.128631219442
2021-11-29,17981.39392469172
2021-11-30,20002.57253863197
2021-12-01,18891.868567864272
2021-12-02,21226.2117449054
2021-12-03,21709.12211665849
2021-12-04,19207.64503160005
2021-12-05,19531.49217857839
2021-12-06,19075.923162723593
2021-12-07,21034.688552186803
2021-12-08,19848.362284837152
2021-12-09,22096.683088285645
2021-12-10,22486.34482477888
2021-12-11,19887.847213416364
2021-12-12,20114.544973693803
2021-12-13,19565.432358802027
2021-12-14,21437.986606783597
2021-12-15,20176.40083254972
2021-12-16,22363.82861608778
2021-12-17,22710.082699376275
2021-12-18,20088.40157914323
2021-12-19,20314.424147701055
2021-12-20,19788.91118068739
2021-12-21,21710.538707358573
2021-12-22,20524.094937894413
2021-12-23,22812.70377387081
2021-12-24,23285.517692160152
2021-12-25,20814.4937710955
2021-12-26,21213.392606373774
2021-12-27,20880.538142365614
2021-12-28,23011.662341520136
2021-12-29,22048.164950608705
2021-12-30,24569.409715097125
2021-12-31,25280.49794804984
2022-01-01,23049.13118352074
2022-01-02,23684.700524813026
2022-01-03,23581.13853539355
2022-01-04,25929.855434443605
2022-01-05,25168.087765597887
2022-01-06,27871.2789231808
2022-01-07,28740.93064340236
2022-01-08,26641.53560037646
2022-01-09,27379.7273680986
2022-01-10,27347.182514058248
2022-01-11,29733.595786643757
2022-01-12,28975.05605792225
2022-01-13,31646.44219054766
2022-01-14,32449.278005535663
2022-01-15,30248.656829024727
2022-01-16,30852.372465704742
2022-01-17,30653.792170498527
2022-01-18,32844.79357568326
2022-01-19,31864.094382112253
2022-01-20,34289.59524567768
2022-01-21,34826.176374148046
2022-01-22,32342.559689124515
2022-01-23,32650.3747775826
2022-01-24,32146.96554827724
2022-01-25,34028.26082851654
2022-01-26,32737.03889680184
2022-01-27,34855.20745562212
2022-01-28,35091.54050205083
2022-01-29,32318.484751707463
2022-01-30,32351.17449366794
